trade_num,entry_time,exit_time,exit_reason,applied_sl_pts,actual_pnl,simulated_pnl,savings,regression_active
2164,2025-10-31 11:12:30,2025-10-31 11:13:25,Stop Loss,5.0,-9087.2,-3029.0666666666666,6058.133333333334,True
2165,2025-10-31 11:12:30,2025-10-31 11:13:25,Stop Loss,5.0,-9087.2,-3029.0666666666666,6058.133333333334,True
2166,2025-10-31 11:04:41,2025-10-31 11:19:19,Take Profit 1,5.0,732.56,732.56,0.0,True
2167,2025-10-31 11:04:41,2025-10-31 11:19:19,Take Profit 1,15.0,732.56,732.56,0.0,False
2168,2025-10-31 11:04:41,2025-10-31 11:19:19,Take Profit 1,15.0,732.56,732.56,0.0,False
2169,2025-10-31 11:04:41,2025-10-31 11:21:13,Trailing Stop,15.0,525.46,525.46,0.0,False
2170,2025-10-31 11:04:41,2025-10-31 11:21:13,Trailing Stop,10.0,525.46,525.46,0.0,True
2171,2025-10-31 11:04:41,2025-10-31 11:21:13,Trailing Stop,5.0,525.46,525.46,0.0,True
2172,2025-10-31 11:21:13,2025-10-31 11:29:33,Take Profit 1,5.0,1137.12,1137.12,0.0,True
2173,2025-10-31 11:21:13,2025-10-31 11:29:33,Take Profit 1,15.0,1137.12,1137.12,0.0,False
2174,2025-10-31 11:21:13,2025-10-31 11:29:33,Take Profit 1,15.0,1137.12,1137.12,0.0,False
2175,2025-10-31 11:21:13,2025-10-31 11:30:06,Trailing Stop,15.0,1276.85,1276.85,0.0,False
2176,2025-10-31 11:21:13,2025-10-31 11:30:06,Trailing Stop,10.0,1276.85,1276.85,0.0,True
2177,2025-10-31 11:21:13,2025-10-31 11:30:06,Trailing Stop,5.0,1276.85,1276.85,0.0,True
2178,2025-10-31 11:30:40,2025-10-31 11:33:52,Stop Loss,5.0,-9502.21,-3167.4033333333327,6334.806666666666,True
2179,2025-10-31 11:30:40,2025-10-31 11:33:52,Stop Loss,5.0,-9502.21,-3167.4033333333327,6334.806666666666,True
2180,2025-10-31 11:30:40,2025-10-31 11:33:52,Stop Loss,5.0,-9502.21,-3167.4033333333327,6334.806666666666,True
2181,2025-10-31 11:24:01,2025-10-31 11:34:39,Take Profit 1,5.0,829.36,829.36,0.0,True
2182,2025-10-31 11:24:01,2025-10-31 11:34:39,Take Profit 1,15.0,829.36,829.36,0.0,False
2183,2025-10-31 11:24:01,2025-10-31 11:34:39,Take Profit 1,15.0,829.36,829.36,0.0,False
2184,2025-10-31 11:24:01,2025-10-31 11:38:15,Trailing Stop,15.0,535.74,535.74,0.0,False
2185,2025-10-31 11:24:01,2025-10-31 11:38:15,Trailing Stop,10.0,535.74,535.74,0.0,True
2186,2025-10-31 11:24:01,2025-10-31 11:38:15,Trailing Stop,5.0,535.74,535.74,0.0,True
2187,2025-10-31 11:38:21,2025-10-31 11:40:02,Take Profit 1,5.0,1183.54,1183.54,0.0,True
2188,2025-10-31 11:38:21,2025-10-31 11:40:02,Take Profit 1,15.0,1183.54,1183.54,0.0,False
